Fecha,IP,Switch,Modelo,VLAN,Puerto,MAC
2025-10-22 08:37:19,192.168.1.25,SW_CORE,WS-C3750-48P,10,Fa1/0/47,9cb6.54a5.07a0
2025-10-22 08:37:38,192.168.1.21,SW_CORE,WS-C3750-48P,10,Fa1/0/48,40c2.baea.4529
2025-10-22 08:38:02,192.168.1.35,SW_CORE,WS-C3750-48P,10,Fa1/0/47,bcfc.e7c5.2e92
2025-10-22 08:53:25,192.168.1.21,SW_CORE,WS-C3750-48P,10,Fa1/0/48,40c2.baea.4529
2025-10-22 08:56:50,192.168.1.21,SW_CORE,WS-C3750-48P,10,Fa1/0/48,40c2.baea.4529
2025-10-22 08:57:15,192.168.1.25,SW_CORE,WS-C3750-48P,10,Fa1/0/47,9cb6.54a5.07a0
2025-10-24 09:04:25,SW_CORE,WS-C3750-48P,192.168.1.26,40c2.baea.4529,Fa1/0/48,Vlan10
2025-10-24 09:05:00,SW_CORE,WS-C3750-48P,192.168.1.21,9cb6.54a5.07a0,Fa1/0/34,Vlan10
2025-10-24 09:05:31,SW_CORE,WS-C3750-48P,192.168.1.30,a08c.fda0.df83,Fa1/0/48,Vlan10
2025-10-24 09:09:26,SW_CORE,WS-C3750-48P,192.168.1.26,40c2.baea.4529,Fa1/0/48,Vlan10
2025-10-24 09:09:42,SW_CORE,WS-C3750-48P,192.168.1.30,a08c.fda0.df83,Fa1/0/48,Vlan10
